Station,,lat,lon
"Bethnal Green Garden, Bethnal Green",,51.52568,-0.055312
"Cheshire Street, Bethnal Green",,51.52388,-0.065076
"York Hall, Bethnal Green",,51.528936,-0.055894
"Jubilee Crescent, Cubitt Town",,51.493381,-0.007542
"Fisherman's Walk West, Canary Wharf",,51.50623,-0.02296
"Shadwell Station, Shadwell",,51.511088,-0.057159
"Jubilee Street, Stepney",,51.515975,-0.053177
"Hermitage Court, Wapping",,51.504719,-0.063531
"St. Katharine's Way, Tower",,51.505697,-0.070542
"Garnet Street, Shadwell",,51.508447,-0.055167
"Napier Avenue, Millwall",,51.487679,-0.021582
"East Ferry Road, Cubitt Town",,51.49447,-0.014409
"Parkway, Camden Town",,51.538071,-0.144664
"Castlehaven Road, Camden Town",,51.542138,-0.145393
"Wapping Lane, Wapping",,51.504749,-0.057544
"Gunmakers Lane, Old Ford",,51.535179,-0.03338
"Burdett Road, Mile End",,51.516196,-0.029138
"Aston Street, Stepney",,51.516,-0.038775
"Bonny Street, Camden Town",,51.541603,-0.138853
"Thurtle Road, Haggerston",,51.534776,-0.071881
"St. Mary & St. Michael Church, Stepney",,51.51417,-0.052099
"Pitfield Street North,Hoxton",,51.53558,-0.08249
"Whiston Road, Haggerston",,51.534464,-0.076341
